Time,GPS_Lat,GPS_Lon,GPS_Alt,Target_Lat,Target_Lon,Target_Alt
1751173437.355569,36.0757765,136.213294,0.498,36.0757765,136.213294,0.5
1751173437.455626,36.0757765,136.213294,0.498,36.0757765,136.213294,0.5
1751173437.5556836,36.0757765,136.213294,0.498,36.0757765,136.213294,0.5
1751173437.655741,36.0757765,136.213294,0.498,36.0757765,136.213294,0.5
1751173437.7557983,36.0757765,136.213294,0.498,36.0757765,136.213294,0.5
1751173437.855855,36.0757765,136.213294,0.498,36.0757765,136.213294,0.5
1751173437.955913,36.0757765,136.2132939,0.525,36.0757765,136.213294,0.5
1751173438.055971,36.0757765,136.2132939,0.525,36.0757765,136.213294,0.5
1751173438.1560285,36.0757765,136.2132939,0.525,36.0757765,136.213294,0.5
1751173438.2560852,36.0757765,136.2132939,0.525,36.0757765,136.213294,0.5
1751173438.3561425,36.0757765,136.2132939,0.525,36.0757765,136.213294,0.5
1751173438.4562,36.0757765,136.2132939,0.525,36.0757765,136.213294,0.5
1751173438.5562649,36.0757765,136.2132939,0.525,36.0757765,136.213294,0.5
1751173438.656325,36.0757765,136.2132939,0.525,36.0757765,136.213294,0.5
1751173438.7563827,36.0757765,136.2132939,0.525,36.0757755,136.213294,0.5
1751173438.85644,36.0757765,136.2132939,0.525,36.0757755,136.213294,0.5
1751173438.9564981,36.0757765,136.213294,0.507,36.0757755,136.213294,0.5
1751173439.0565557,36.0757765,136.213294,0.507,36.0757755,136.213294,0.5
1751173439.156613,36.0757765,136.213294,0.507,36.0757755,136.213294,0.5
1751173439.2566714,36.0757765,136.213294,0.507,36.0757755,136.213294,0.5
1751173439.3567286,36.0757765,136.213294,0.507,36.0757755,136.213294,0.5
1751173439.4567857,36.0757765,136.213294,0.507,36.0757755,136.213294,0.5
1751173439.5568433,36.0757765,136.213294,0.507,36.0757755,136.213294,0.5
1751173439.6569006,36.0757765,136.213294,0.507,36.0757755,136.213294,0.5
1751173439.7569578,36.0757765,136.213294,0.507,36.0757755,136.213294,0.5
1751173439.857015,36.0757765,136.213294,0.507,36.0757755,136.213294,0.5
1751173439.9570727,36.0757762,136.213294,0.505,36.0757755,136.213294,0.5
1751173440.0571308,36.0757762,136.213294,0.505,36.0757755,136.213294,0.5
