Timestamp,M0_Thrust_N,M1_Thrust_N,M2_Thrust_N,M3_Thrust_N,Total_Thrust_N
2025/07/20 19:11:02.110,0.513,0.431,0.483,0.437,1.864
2025/07/20 19:11:02.210,0.523,0.437,0.494,0.416,1.8699999999999999
2025/07/20 19:11:02.310,0.542,0.427,0.493,0.421,1.8830000000000002
2025/07/20 19:11:02.410,0.504,0.461,0.478,0.415,1.858
2025/07/20 19:11:02.510,0.504,0.455,0.521,0.392,1.8719999999999999
2025/07/20 19:11:02.610,0.507,0.437,0.499,0.407,1.85
2025/07/20 19:11:02.710,0.51,0.439,0.506,0.402,1.8570000000000002
2025/07/20 19:11:02.810,0.528,0.415,0.507,0.412,1.862
2025/07/20 19:11:02.910,0.507,0.416,0.48,0.432,1.835
2025/07/20 19:11:03.010,0.521,0.416,0.517,0.405,1.8590000000000002
2025/07/20 19:11:03.110,0.521,0.408,0.509,0.418,1.856
2025/07/20 19:11:03.210,0.499,0.437,0.491,0.431,1.858
2025/07/20 19:11:03.310,0.515,0.423,0.531,0.426,1.8949999999999998
2025/07/20 19:11:03.410,0.525,0.402,0.531,0.435,1.8930000000000002
2025/07/20 19:11:03.510,0.509,0.424,0.513,0.434,1.8800000000000001
2025/07/20 19:11:03.610,0.507,0.424,0.533,0.432,1.896
2025/07/20 19:11:03.710,0.521,0.424,0.51,0.439,1.8940000000000001
2025/07/20 19:11:03.810,0.545,0.419,0.496,0.443,1.903
2025/07/20 19:11:03.910,0.537,0.435,0.499,0.434,1.905
2025/07/20 19:11:04.010,0.536,0.439,0.488,0.435,1.8980000000000001
2025/07/20 19:11:04.110,0.534,0.426,0.517,0.429,1.906
2025/07/20 19:11:04.210,0.509,0.442,0.504,0.434,1.889
2025/07/20 19:11:04.310,0.512,0.44,0.531,0.426,1.909
2025/07/20 19:11:04.410,0.528,0.429,0.488,0.447,1.8920000000000001
2025/07/20 19:11:04.510,0.539,0.429,0.518,0.44,1.926
2025/07/20 19:11:04.610,0.518,0.439,0.491,0.456,1.904
2025/07/20 19:11:04.710,0.521,0.445,0.545,0.413,1.9240000000000002
2025/07/20 19:11:04.810,0.509,0.461,0.509,0.431,1.9100000000000001
2025/07/20 19:11:04.910,0.512,0.478,0.537,0.408,1.935
2025/07/20 19:11:05.010,0.521,0.456,0.51,0.435,1.9220000000000002
2025/07/20 19:11:05.110,0.518,0.442,0.536,0.447,1.943
2025/07/20 19:11:05.210,0.513,0.431,0.531,0.463,1.9380000000000002
2025/07/20 19:11:05.310,0.523,0.412,0.539,0.458,1.9320000000000002
2025/07/20 19:11:05.410,0.502,0.421,0.528,0.466,1.917
2025/07/20 19:11:05.510,0.51,0.405,0.564,0.435,1.9140000000000001
2025/07/20 19:11:05.610,0.474,0.419,0.536,0.456,1.885
2025/07/20 19:11:05.710,0.477,0.424,0.576,0.439,1.916
2025/07/20 19:11:05.810,0.482,0.426,0.544,0.461,1.913
2025/07/20 19:11:05.910,0.512,0.424,0.542,0.463,1.941
2025/07/20 19:11:06.010,0.512,0.434,0.545,0.448,1.939
2025/07/20 19:11:06.110,0.526,0.415,0.534,0.469,1.944
2025/07/20 19:11:06.210,0.491,0.442,0.563,0.432,1.928
2025/07/20 19:11:06.310,0.485,0.434,0.55,0.445,1.9140000000000001
2025/07/20 19:11:06.410,0.483,0.448,0.564,0.426,1.921
2025/07/20 19:11:06.510,0.483,0.45,0.563,0.432,1.928
2025/07/20 19:11:06.610,0.515,0.423,0.518,0.472,1.928
2025/07/20 19:11:06.710,0.507,0.424,0.539,0.439,1.9090000000000003
2025/07/20 19:11:06.810,0.509,0.419,0.529,0.415,1.8719999999999999
2025/07/20 19:11:06.910,0.506,0.435,0.501,0.412,1.854
2025/07/20 19:11:07.010,0.517,0.447,0.509,0.402,1.875
2025/07/20 19:11:07.110,0.506,0.442,0.485,0.423,1.8559999999999999
2025/07/20 19:11:07.210,0.513,0.426,0.521,0.413,1.873
2025/07/20 19:11:07.310,0.494,0.442,0.509,0.421,1.8659999999999999
2025/07/20 19:11:07.410,0.501,0.431,0.515,0.435,1.8820000000000001
2025/07/20 19:11:07.510,0.518,0.418,0.506,0.443,1.885
2025/07/20 19:11:07.610,0.51,0.419,0.525,0.44,1.8940000000000001
2025/07/20 19:11:07.710,0.525,0.416,0.549,0.44,1.9300000000000002
2025/07/20 19:11:07.810,0.504,0.427,0.525,0.456,1.912
2025/07/20 19:11:07.910,0.507,0.418,0.555,0.455,1.935
2025/07/20 19:11:08.010,0.533,0.404,0.533,0.467,1.9370000000000003
2025/07/20 19:11:08.110,0.531,0.426,0.533,0.431,1.9210000000000003
2025/07/20 19:11:08.210,0.526,0.472,0.513,0.4,1.911
2025/07/20 19:11:08.310,0.549,0.475,0.474,0.423,1.921
2025/07/20 19:11:08.410,0.577,0.45,0.498,0.413,1.938
2025/07/20 19:11:08.510,0.533,0.467,0.515,0.392,1.907
2025/07/20 19:11:08.610,0.517,0.463,0.523,0.396,1.899
2025/07/20 19:11:08.711,0.525,0.435,0.509,0.423,1.892
2025/07/20 19:11:08.810,0.51,0.439,0.51,0.426,1.885
2025/07/20 19:11:08.910,0.537,0.421,0.51,0.431,1.899
2025/07/20 19:11:09.010,0.493,0.455,0.496,0.431,1.875
2025/07/20 19:11:09.110,0.506,0.455,0.517,0.415,1.8930000000000002
2025/07/20 19:11:09.210,0.521,0.442,0.525,0.408,1.896
2025/07/20 19:11:09.310,0.502,0.442,0.515,0.427,1.8860000000000001
2025/07/20 19:11:09.410,0.528,0.413,0.515,0.451,1.907
2025/07/20 19:11:09.510,0.512,0.412,0.541,0.448,1.9129999999999998
2025/07/20 19:11:09.610,0.496,0.427,0.553,0.442,1.918
2025/07/20 19:11:09.710,0.517,0.416,0.521,0.475,1.9290000000000003
2025/07/20 19:11:09.810,0.51,0.415,0.549,0.464,1.9380000000000002
2025/07/20 19:11:09.911,0.52,0.418,0.545,0.464,1.947
2025/07/20 19:11:10.010,0.501,0.429,0.531,0.477,1.9379999999999997
2025/07/20 19:11:10.111,0.491,0.447,0.568,0.453,1.9589999999999999
2025/07/20 19:11:10.210,0.496,0.45,0.534,0.464,1.944
2025/07/20 19:11:10.311,0.515,0.443,0.531,0.456,1.9449999999999998
2025/07/20 19:11:10.410,0.539,0.431,0.51,0.456,1.936
2025/07/20 19:11:10.511,0.536,0.418,0.525,0.445,1.9240000000000002
2025/07/20 19:11:10.610,0.498,0.443,0.517,0.432,1.8900000000000001
2025/07/20 19:11:10.711,0.496,0.44,0.502,0.44,1.878
2025/07/20 19:11:10.810,0.529,0.41,0.496,0.45,1.885
2025/07/20 19:11:10.911,0.501,0.424,0.509,0.437,1.8710000000000002
2025/07/20 19:11:11.010,0.488,0.437,0.536,0.427,1.8880000000000001
2025/07/20 19:11:11.111,0.49,0.432,0.499,0.469,1.8899999999999997
2025/07/20 19:11:11.210,0.502,0.412,0.544,0.448,1.906
2025/07/20 19:11:11.311,0.496,0.415,0.521,0.463,1.895
2025/07/20 19:11:11.410,0.493,0.408,0.547,0.467,1.915
2025/07/20 19:11:11.511,0.482,0.396,0.56,0.477,1.915
2025/07/20 19:11:11.610,0.482,0.405,0.549,0.49,1.926
2025/07/20 19:11:11.711,0.493,0.405,0.572,0.477,1.947
2025/07/20 19:11:11.810,0.502,0.392,0.542,0.488,1.924
2025/07/20 19:11:11.911,0.496,0.412,0.541,0.472,1.9209999999999998
2025/07/20 19:11:12.011,0.515,0.423,0.533,0.466,1.937
2025/07/20 19:11:12.111,0.513,0.437,0.525,0.461,1.9360000000000002
2025/07/20 19:11:12.210,0.526,0.426,0.547,0.442,1.941
2025/07/20 19:11:12.311,0.509,0.431,0.533,0.458,1.9309999999999998
2025/07/20 19:11:12.410,0.521,0.413,0.568,0.463,1.9649999999999999
2025/07/20 19:11:12.511,0.506,0.424,0.542,0.466,1.938
2025/07/20 19:11:12.610,0.518,0.424,0.534,0.463,1.939
2025/07/20 19:11:12.711,0.518,0.442,0.553,0.427,1.94
2025/07/20 19:11:12.810,0.518,0.44,0.515,0.442,1.9149999999999998
2025/07/20 19:11:12.911,0.529,0.424,0.52,0.442,1.915
2025/07/20 19:11:13.010,0.498,0.448,0.553,0.408,1.907
2025/07/20 19:11:13.111,0.491,0.435,0.525,0.437,1.8880000000000001
2025/07/20 19:11:13.210,0.513,0.407,0.523,0.451,1.8940000000000001
2025/07/20 19:11:13.311,0.488,0.437,0.55,0.413,1.8880000000000001
2025/07/20 19:11:13.410,0.49,0.431,0.526,0.437,1.8840000000000001
2025/07/20 19:11:13.511,0.515,0.408,0.534,0.439,1.8960000000000001
2025/07/20 19:11:13.610,0.494,0.442,0.547,0.423,1.9060000000000001
2025/07/20 19:11:13.711,0.501,0.429,0.504,0.472,1.906
2025/07/20 19:11:13.811,0.528,0.41,0.561,0.445,1.9440000000000002
2025/07/20 19:11:13.911,0.491,0.445,0.561,0.439,1.936
2025/07/20 19:11:14.011,0.509,0.424,0.534,0.483,1.9500000000000002
2025/07/20 19:11:14.111,0.504,0.437,0.571,0.439,1.951
2025/07/20 19:11:14.211,0.498,0.448,0.561,0.432,1.939
2025/07/20 19:11:14.311,0.521,0.424,0.536,0.461,1.9420000000000002
2025/07/20 19:11:14.411,0.494,0.448,0.572,0.419,1.9329999999999998
2025/07/20 19:11:14.511,0.494,0.442,0.545,0.442,1.9229999999999998
2025/07/20 19:11:14.610,0.521,0.41,0.533,0.464,1.928
2025/07/20 19:11:14.711,0.504,0.41,0.541,0.466,1.921
2025/07/20 19:11:14.811,0.518,0.407,0.555,0.451,1.931
